image_name,target
ISIC_0052060,0.02502139135616169
ISIC_0052349,0.023100627867406846
ISIC_0058510,0.025067642839629745
ISIC_0073313,0.02625293116655302
ISIC_0073502,0.03265971485164118
ISIC_0074618,0.023503490194524766
ISIC_0076801,0.03135370370428924
ISIC_0077586,0.027232226912045
ISIC_0082004,0.02759633622702312
ISIC_0082785,0.027421759439284613
ISIC_0085332,0.021679236690128133
ISIC_0087243,0.023002513312815477
ISIC_0088167,0.022123256880902768
ISIC_0089356,0.025968716183541296
ISIC_0090283,0.039053668031473254
ISIC_0092481,0.025270480385031227
ISIC_0095455,0.024803527924967005
ISIC_0095790,0.02516984360254212
ISIC_0097719,0.043392155413119124
ISIC_0099348,0.03548769284202499
ISIC_0101040,0.02277502528961849
ISIC_0101383,0.02236246741004715
ISIC_0105104,0.0868552394175167
ISIC_0108196,0.023847518006415457
ISIC_0112420,0.5301568461610336
ISIC_0114232,0.023747781474256043
ISIC_0115798,0.028794073888199424
ISIC_0116844,0.024816832827408406
ISIC_0126432,0.02654996143841667
ISIC_0131485,0.025425317159148503
ISIC_0131912,0.023138799328469753
ISIC_0131978,0.02487768607422953
ISIC_0139322,0.028938367772960185
ISIC_0142066,0.027209682945274833
ISIC_0143109,0.024219044480585573
ISIC_0148210,0.02866597086965866
ISIC_0148937,0.02544576900288706
ISIC_0150213,0.02367221379134292
ISIC_0152553,0.024438675911568737
ISIC_0153127,0.02678679203763332
ISIC_0154289,0.02609314126115122
ISIC_0155813,0.0963568645065773
ISIC_0155983,0.18331911061983341
ISIC_0157088,0.0248077881380249
ISIC_0158761,0.022564485851788045
ISIC_0161963,0.026523909155392173
ISIC_0165178,0.021943797138936804
ISIC_0165230,0.026654019198677353
ISIC_0165615,0.024919045154118063
ISIC_0165617,0.028635641345973302
ISIC_0165674,0.023308343829603673
ISIC_0165928,0.02409807968416071
ISIC_0166561,0.024688341403831957
ISIC_0168125,0.022191618946152496
ISIC_0169378,0.031738851557053666
ISIC_0169575,0.02527876062877903
ISIC_0169906,0.15358954599492267
ISIC_0171865,0.11451290145086289
ISIC_0172678,0.021674991956983948
ISIC_0174800,0.023307983172986317
ISIC_0175014,0.03247218096547861
ISIC_0175798,0.05681024320079823
ISIC_0176152,0.038329521609399606
ISIC_0177083,0.02610942093614312
ISIC_0178235,0.19582925435847628
ISIC_0178258,0.029783282028730197
ISIC_0178428,0.05818051955546114
ISIC_0178741,0.0320830505475977
